date,block,population,plant,wet_wgt,petal_flower,length,area,dry_wgt,water_mg,water_%,
5/23/25,2,Percos,14,0.04437,petal,,,0.008,0.03637,82%,
5/23/25,2,Percos,15,,petal,,,,,,
7/2/25,3,Pt. Conception,1,0.03748,petal,,,0.00439,0.03309,88%,
7/2/25,3,Pt. Conception,2,0.04054,petal,,,0.00418,0.03636,90%,
7/2/25,3,Pt. Conception,3,0.02922,petal,,,0.00321,0.02601,89%,
7/2/25,3,Pt. Conception,4,0.02896,petal,,,0.00313,0.02583,89%,
7/2/25,3,Pt. Conception,5,0.02295,petal,,,0.00294,0.02001,87%,
7/2/25,3,Pt. Conception,6,0.02568,petal,,,0.00457,0.02111,82%,
7/2/25,3,Pt. Conception,7,0.01798,petal,,,0.0022,0.01578,88%,
7/2/25,3,Pt. Conception,8,0.02346,petal,,,0.00259,0.02087,89%,
7/2/25,3,Pt. Conception,9,0.02218,petal,,,0.0035,0.01868,84%,
7/2/25,3,Pt. Conception,10,0.02459,petal,,,0.00272,0.02187,89%,
7/2/25,3,Pt. Conception,11,0.03475,petal,,,0.0042,0.03055,88%,
7/2/25,3,Pt. Conception,12,0.0116,petal,,,0.00164,0.00996,86%,
7/2/25,3,Pt. Conception,13,0.02481,petal,,,0.00334,0.02147,87%,
7/2/25,3,Pt. Conception,14,0.02123,petal,,,0.00136,0.01987,94%,
7/2/25,3,Pt. Conception,15,0.01576,petal,,,0.00178,0.01398,89%,
7/2/25,3,Percos,1,0.01964,petal,,,0.00288,0.01676,85%,
7/2/25,3,Percos,2,0.02471,petal,,,0.00322,0.02149,87%,
7/2/25,3,Percos,3,0.03049,petal,,,0.00455,0.02594,85%,
7/2/25,3,Percos,4,0.0192,petal,,,0.00303,0.01617,84%,
7/2/25,3,Percos,5,0.03523,petal,,,0.00486,0.03037,86%,
7/2/25,3,Percos,6,0.02298,petal,,,0.00323,0.01975,86%,
7/2/25,3,Percos,7,0.02093,petal,,,0.00306,0.01787,85%,
7/2/25,3,Percos,8,0.03367,petal,,,0.00522,0.02845,84%,
7/2/25,3,Percos,9,0.0247,petal,,,0.0035,0.0212,86%,
7/2/25,3,Percos,10,0.03495,petal,,,0.00562,0.02933,84%,
7/2/25,3,Percos,11,0.01568,petal,,,0.00214,0.01354,86%,
7/2/25,3,Percos,12,0.03145,petal,,,0.0038,0.02765,88%,
7/2/25,3,Percos,13,0.00875,petal,,,0.00144,0.00731,84%,
7/2/25,3,Percos,14,0.01517,petal,,,0.00224,0.01293,85%,
7/2/25,3,Percos,15,0.01949,petal,,,0.00301,0.01648,85%,
7/5/25,3,Cojo,1,0.01574,petal,,,0.00212,0.01362,87%,
7/5/25,3,Cojo,2,0.00874,petal,,,0.00081,0.00793,91%,
7/5/25,3,Cojo,3,0.01638,petal,,,0.00224,0.01414,86%,
7/5/25,3,Cojo,4,0.00875,petal,,,0.00131,0.00744,85%,
7/5/25,3,Cojo,5,0.01878,petal,,,0.00209,0.01669,89%,
7/5/25,3,Cojo,6,0.00976,petal,,,0.00121,0.00855,88%,
7/5/25,3,Cojo,7,0.03425,petal,,,0.00371,0.03054,89%,
